Id;Year;Interfaces;Category;Languages;Keywords
1;2020;Text,Graphic;D;Python;gnss,raspberry pi,autonomous robot,seed planting,low-cost
2;2021;Text;A;C/C++;automation,arduino,air quality,iot,monitoring
3;2022;Graphic;D;Python;crop yield,low-cost, weed detection,herbicide application,image analysis
4;2021;Text,Graphic;D;Python;low-cost,multispectral imaging,uas,embedded electronics,optimization
5;2021;Text,Graphic,Library;B;Python; photogrammetry,phenotyping,uas,gis,orthomosaic
6;2022;Text;A;C/C++,Python;automation, arduino,monitoring,raspberry pi,plant growth
7;2022;Graphic;C;Java,JavaScript;arduino,iot,irrigation,water use,automation
8;2018;Graphic,Plugin;E;Java,C/C++,R;decision support,geostatistics,spatial analysis,gis,temporal data
9;2020;Text;A;Java,Python;uas,autonomous photography,faas,machine learning,edge computing
10;2018;Text,Library,Graphic;D;Python;automation,ordinary kriging,clustering analysis,yield map,data filtering
11;2019;Graphic;C;Java;iot,meteorological data,irrigation,water use,android
12;2021;Text,Library,Graphic;C;MATLAB,Python;thermal imaging,uas,vegetation index,image processing,raspberry pi
13;2022;Library;A;Python;data-driven plant breeding,data processing,data visualization,location data,big data
14;2021;Text;A;C/C++;object detection,crop spraying,energy-efficient,uas,computer vision
15;2022;Graphic;D;JavaScript;automation,geovisualization,time series,vegetation index,satellite images
16;2022;Graphic;A;Java;spatial data,local analysis, map accuracy,outliers,data filtering
17;2020;Library;E;Python;decision support,vegetation index,monitoring,multispectral imaging,uas
18;2021;Text;E;Python;monitoring,dairy cow,data processing,automation,heat analysis
19;2020;Text;C;Python,C/C++;irrigation,distributed systems,meteorological data,automation,water use
20;2021;Library;E;Python;deep learning,unmanned ground vehicles,monitoring,path planning,automation
21;2017;Plugin,Library;E;R,Python;gis,geoprocessing,spatial analysis,geocomputing,path planning
